Cycle,Condition,Z_stack,Channel,Marker,Path,Path_corrected
Concanavadin A,Fw2,2,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw2\1_00001_Z002_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_2_Concanavadin A_DAPI.tiff
Concanavadin A,Fw2,2,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw2\1_00001_Z002_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_2_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw2,3,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw2\1_00001_Z003_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_3_Concanavadin A_DAPI.tiff
Concanavadin A,Fw2,3,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw2\1_00001_Z003_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_3_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw2,4,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw2\1_00001_Z004_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_4_Concanavadin A_DAPI.tiff
Concanavadin A,Fw2,4,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw2\1_00001_Z004_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw2_4_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw3,1,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z001_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_1_Concanavadin A_DAPI.tiff
Concanavadin A,Fw3,1,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z001_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_1_Concanavadin A_Concanavadin A.tiff
Concanavadin A,Fw3,2,CH1,DAPI,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z002_CH1.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_2_Concanavadin A_DAPI.tiff
Concanavadin A,Fw3,2,CH2,Concanavadin A,y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Concanavadin A_40X8_27Fw3\1_00001_Z002_CH2.tif,y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\Fw3_2_Concanavadin A_Concanavadin A.tiff
